ActivityId;LapNumber;TrackNumber;AltitudeMeters;DistanceMeters;RunCadence;Speed;HeartRateBpm;LatitudeDegrees;LongitudeDegrees;Time
9/4/2024 10:51:44 PM;1;1;188.60000610351562;0.0;50;1.343999981880188;89;38.75661972910166;-90.56183997541666;2024-09-04 22:51:44Z
9/4/2024 10:51:44 PM;1;2;188.39999389648438;1.1200000047683716;50;1.305999994277954;91;38.7566245906055;-90.56185238063335;2024-09-04 22:51:45Z
9/4/2024 10:51:44 PM;1;3;188.39999389648438;9.710000038146973;0;1.3530000448226929;91;38.75662215985358;-90.56195153854787;2024-09-04 22:51:50Z
9/4/2024 10:51:44 PM;1;4;187.0;26.90999984741211;78;2.378999948501587;89;38.75663406215608;-90.5621485132724;2024-09-04 22:51:57Z
9/4/2024 10:51:44 PM;1;5;186.39999389648438;49.22999954223633;79;2.5940001010894775;90;38.75662760809064;-90.56240340694785;2024-09-04 22:52:05Z
9/4/2024 10:51:44 PM;1;6;186.39999389648438;70.80000305175781;80;2.575000047683716;92;38.756624003872275;-90.56265109218657;2024-09-04 22:52:13Z
9/4/2024 10:51:44 PM;1;7;186.39999389648438;75.93000030517578;81;2.5940001010894775;95;38.75662710517645;-90.56270993314683;2024-09-04 22:52:15Z
9/4/2024 10:51:44 PM;1;8;186.0;80.63999938964844;83;2.621999979019165;98;38.756631379947066;-90.56276416406035;2024-09-04 22:52:17Z
9/4/2024 10:51:44 PM;1;9;186.0;88.20999908447266;80;2.6500000953674316;101;38.75663657672703;-90.5628512520343;2024-09-04 22:52:20Z
9/4/2024 10:51:44 PM;1;10;186.1999969482422;98.2699966430664;81;2.6589999198913574;104;38.75664956867695;-90.56296574883163;2024-09-04 22:52:24Z
9/4/2024 10:51:44 PM;1;11;186.60000610351562;106.30000305175781;79;2.6589999198913574;105;38.75664923340082;-90.56305811740458;2024-09-04 22:52:27Z
9/4/2024 10:51:44 PM;1;12;186.60000610351562;117.7300033569336;80;2.6500000953674316;106;38.756654765456915;-90.56318879127502;2024-09-04 22:52:32Z
9/4/2024 10:51:44 PM;1;13;186.8000030517578;126.66000366210938;79;2.63100004196167;109;38.75665929168463;-90.56329138576984;2024-09-04 22:52:36Z
9/4/2024 10:51:44 PM;1;14;187.0;136.17999267578125;80;2.5940001010894775;111;38.75664713792503;-90.56339942850173;2024-09-04 22:52:40Z
9/4/2024 10:51:44 PM;1;15;186.60000610351562;152.38999938964844;79;2.5380001068115234;114;38.75665417872369;-90.56358492001891;2024-09-04 22:52:47Z
9/4/2024 10:51:44 PM;1;16;186.60000610351562;154.8699951171875;79;2.5290000438690186;114;38.7566571123898;-90.5636131670326;2024-09-04 22:52:48Z
9/4/2024 10:51:44 PM;1;17;186.39999389648438;161.91000366210938;80;2.5190000534057617;117;38.75666817650199;-90.56369304656982;2024-09-04 22:52:51Z
9/4/2024 10:51:44 PM;1;18;186.0;171.9600067138672;79;2.4820001125335693;120;38.756675301119685;-90.5638082139194;2024-09-04 22:52:56Z
9/4/2024 10:51:44 PM;1;19;186.39999389648438;179.02000427246094;79;2.4539999961853027;122;38.756670858711004;-90.56388993747532;2024-09-04 22:52:59Z
9/4/2024 10:51:44 PM;1;20;186.0;196.94000244140625;79;2.4260001182556152;123;38.75666297972202;-90.56409546174109;2024-09-04 22:53:06Z
9/4/2024 10:51:44 PM;1;21;185.8000030517578;217.69000244140625;78;2.4170000553131104;122;38.75664671882987;-90.56433292105794;2024-09-04 22:53:14Z
9/4/2024 10:51:44 PM;1;22;185.8000030517578;220.27999877929688;78;2.4170000553131104;122;38.75664722174406;-90.56436276063323;2024-09-04 22:53:15Z
9/4/2024 10:51:44 PM;1;23;186.0;238.49000549316406;79;2.4170000553131104;121;38.7566589564085;-90.56456996127963;2024-09-04 22:53:22Z
9/4/2024 10:51:44 PM;1;24;186.0;257.3699951171875;79;2.4260001182556152;122;38.756681671366096;-90.56478386744857;2024-09-04 22:53:30Z
9/4/2024 10:51:44 PM;1;25;186.0;270.25;78;2.434999942779541;125;38.75668058171868;-90.56493147276342;2024-09-04 22:53:35Z
9/4/2024 10:51:44 PM;1;26;185.60000610351562;277.8999938964844;79;2.434999942779541;126;38.756683096289635;-90.56501956656575;2024-09-04 22:53:38Z
9/4/2024 10:51:44 PM;1;27;185.60000610351562;299.7099914550781;79;2.4539999961853027;128;38.75669055618346;-90.56527018547058;2024-09-04 22:53:47Z
9/4/2024 10:51:44 PM;1;28;185.0;316.1400146484375;78;2.444999933242798;127;38.7566882930696;-90.56545726954937;2024-09-04 22:53:53Z
9/4/2024 10:51:44 PM;1;29;184.8000030517578;321.9599914550781;78;2.4539999961853027;124;38.75668980181217;-90.56552432477474;2024-09-04 22:53:56Z
9/4/2024 10:51:44 PM;1;30;184.39999389648438;334.0899963378906;79;2.444999933242798;122;38.75669692642987;-90.56566346436739;2024-09-04 22:54:02Z
9/4/2024 10:51:44 PM;1;31;183.8000030517578;349.2799987792969;78;2.369999885559082;121;38.75669617205858;-90.56583881378174;2024-09-04 22:54:10Z
9/4/2024 10:51:44 PM;1;32;183.0;365.6499938964844;79;2.239000082015991;120;38.75671662390232;-90.56603134609759;2024-09-04 22:54:18Z
9/4/2024 10:51:44 PM;1;33;182.60000610351562;380.1099853515625;76;2.1089999675750732;117;38.7567160371691;-90.56619755923748;2024-09-04 22:54:26Z
9/4/2024 10:51:44 PM;1;34;182.60000610351562;383.29998779296875;76;2.071000099182129;117;38.75671913847327;-90.56623469106853;2024-09-04 22:54:28Z
